TAG,XLOC,YLOC,SIZE
A1,0.500,0.500,<MOD-DIAM>0.25 THRU
A2,0.500,1.000,<MOD-DIAM>0.25 THRU
A3,0.500,1.500,<MOD-DIAM>0.25 THRU
A4,1.500,0.500,<MOD-DIAM>0.25 THRU
A5,1.500,1.000,<MOD-DIAM>0.25 THRU
A6,1.500,1.500,<MOD-DIAM>0.25 THRU
A7,2.461,5.196,<MOD-DIAM>0.25 THRU
A8,2.684,5.467,<MOD-DIAM>0.25 THRU
A9,2.898,5.190,<MOD-DIAM>0.25 THRU
B1,0.500,4.500,<MOD-DIAM>0.50 THRU
B2,3.500,4.000,<MOD-DIAM>0.50 THRU
