TAG,XLOC,YLOC,SIZE
A1,0.375,0.375,<MOD-DIAM>0.25 THRU
A2,1.095,0.375,<MOD-DIAM>0.25 THRU
A3,1.970,0.375,<MOD-DIAM>0.25 THRU
A4,2.875,0.375,<MOD-DIAM>0.25 THRU
